workerid,condition,stim_present,stimulus,response,correct,rt
S101,1,2000,24,0,1,1727
S101,1,2000,62,1,1,1849
S101,1,2000,117,0,1,1372
S101,1,2000,16,0,0,2010
S101,1,2000,70,1,1,1773
S101,1,2000,26,0,0,1993
S101,1,2000,38,0,1,1783
S101,1,2000,32,1,1,1406
S101,1,2000,0,1,1,154
S101,1,2000,66,1,1,1405
S101,1,2000,53,0,1,2041
S101,1,2000,71,0,1,1691
S101,1,2000,116,0,1,1853
S101,1,2000,63,0,1,1708
S101,1,2000,97,0,1,2127
S101,1,2000,36,1,1,1422
S101,1,2000,118,0,1,1036
S101,1,2000,94,0,1,1499
S101,1,2000,98,0,1,1818
S101,1,2000,27,0,1,2157
S101,1,2000,85,0,0,381
S101,1,2000,28,1,1,2014
S101,1,2000,12,1,1,749
S101,1,2000,88,1,1,1741
S101,1,2000,10,0,1,1485
S101,1,2000,74,1,1,762
S101,1,2000,60,1,0,704
S101,1,2000,83,1,1,1516
S101,1,2000,89,0,1,1950
S101,1,2000,5,1,0,1887
S101,1,2000,93,0,1,1753
S101,1,2000,17,0,1,397
S101,1,2000,39,0,1,1789
S101,1,2000,44,1,1,1550
S101,1,2000,45,1,1,1454
S101,1,2000,102,0,1,1390
S101,1,2000,35,0,1,1373
S101,1,2000,113,0,1,2236
S101,1,2000,7,0,1,1547
S101,1,2000,75,1,0,851
S101,1,2000,110,1,0,1575
S101,1,2000,81,1,1,1407
S101,1,2000,73,0,0,199
S101,1,2000,87,0,1,1789
S101,1,2000,95,0,1,1421
S101,1,2000,19,1,1,1694
S101,1,2000,80,1,1,1646
S101,1,2000,6,0,1,1755
S101,1,2000,4,0,1,1019
S101,1,2000,111,1,1,271
S101,1,2000,31,0,1,1721
S101,1,2000,51,1,1,2189
S101,1,2000,58,1,1,1528
S101,1,2000,1,0,1,1785
S101,1,2000,43,0,1,2092
S101,1,2000,11,1,1,1613
S101,1,2000,77,1,0,225
S101,1,2000,72,0,1,19
S101,1,2000,49,1,1,2398
S101,1,2000,106,0,1,987
S101,1,2000,96,0,1,1700
S101,1,2000,23,1,1,1768
S101,1,2000,21,1,1,1413
S101,1,2000,99,1,1,1721
S101,1,2000,25,0,0,114
S101,1,2000,107,0,1,1613
S101,1,2000,3,1,1,65
S101,1,2000,104,0,1,1964
S101,1,2000,37,0,1,1629
S101,1,2000,100,1,1,1886
S101,1,2000,91,0,1,1257
S134,1,2000,41,0,0,2201
S134,1,2000,115,0,1,2020
S134,1,2000,34,1,1,1848
S134,1,2000,28,0,0,2475
S134,1,2000,114,1,1,1912
S134,1,2000,113,0,0,2057
S134,1,2000,95,1,0,1997
S134,1,2000,30,1,1,2026
S134,1,2000,27,0,0,2100
S134,1,2000,53,1,0,2123
S134,1,2000,108,1,1,2651
S134,1,2000,80,0,1,2229
S134,1,2000,5,0,1,2296
S134,1,2000,22,1,1,2001
S134,1,2000,94,1,1,1926
S134,1,2000,103,1,1,1703
S134,1,2000,101,0,0,2091
S134,1,2000,93,0,1,2082
S134,1,2000,64,1,1,1928
S134,1,2000,25,0,0,1950
S134,1,2000,32,1,1,1949
S134,1,2000,110,0,1,1994
S134,1,2000,62,0,1,1700
S134,1,2000,19,0,1,2203
S134,1,2000,55,0,1,2166
S134,1,2000,84,1,1,1981
S134,1,2000,7,0,1,1873
S134,1,2000,89,0,1,2081
S134,1,2000,51,0,0,1983
S134,1,2000,45,0,1,1810
S134,1,2000,47,1,1,1885
S134,1,2000,44,1,1,2110
S134,1,2000,43,1,1,2036
S134,1,2000,97,0,0,2114
S134,1,2000,23,1,1,1989
S134,1,2000,37,0,0,1998
S134,1,2000,98,0,1,1818
S134,1,2000,15,1,0,1732
S134,1,2000,112,1,1,2029
S134,1,2000,9,1,1,1870
S134,1,2000,68,0,1,1941
S134,1,2000,52,0,1,1808
S134,1,2000,50,1,0,2004
S134,1,2000,63,1,0,1880
S134,1,2000,91,0,1,1985
S134,1,2000,4,0,1,1908
S134,1,2000,75,0,1,1866
S134,1,2000,76,1,1,1963
S134,1,2000,57,0,1,1886
S134,1,2000,29,1,1,2096
S134,1,2000,58,0,1,1826
S134,1,2000,83,0,1,2037
S134,1,2000,117,1,1,1990
S134,1,2000,107,0,1,2081
S134,1,2000,24,1,1,2111
S134,1,2000,59,1,1,2004
S134,1,2000,18,0,1,1883
S134,1,2000,72,0,0,1957
S134,1,2000,40,0,0,2210
S134,1,2000,39,1,1,2420
S134,1,2000,106,0,1,1655
S134,1,2000,61,0,1,2072
S134,1,2000,99,1,1,1766
S134,1,2000,14,0,1,1859
